id,teamName,altName1,altName2,winningYears,losingYears,firstTeamActiveYears,secondTeamActiveYears,currentTeamActiveYears,imageName
0,Arizona Diamondbacks,,,98,-1,,,(1998 - present),arizonaDiamondbacks
1,Atlanta Braves,Milwaukee Braves,Boston Braves,11 54 92,45 55 79 88 89 93 96,"(1912-1935, 1941-1952)",(1953-1965),(1966-present),atlantaBraves
2,Chicago Cubs,,,4 5,3 7 15 26 29 32 35 42,,,(1903-present),chicagoCubs
3,Cincinnati Reds,,,16 37 72 73 87,36 58 67 69,,,"(1903-1953, 1960-present)",cincinnatiReds
4,Colorado Rockies,,,-1,104,,,(1993-present),coloradoRockies
5,Los Angeles Dodgers,Brooklyn Dodgers,Brooklyn Robins,52 56 60 62 78 85,13 17 38 44 46 49 50 53 63 71 74 75,(1914-1931),(1932-1957),(1958-present),losAngelesDodgers
6,Miami Marlins,Florida Marlins,,"94,100",-1,,(1993-2011),(2012-present),miamiMarlins
7,Milwaukee Brewers,,,-1,-1,,,(1970-present),milwaukeeBrewers
8,New York Mets,,,66 83,70 97,,,(1962-present),newYorkMets
9,Philadelphia Phillies,,,"77,105",12 47 80 90 106,,,(1903-present),philadelphiaPhillies
10,Pittsburgh Pirates,,,6 22 57 68 76,0 24,,,(1903-present),pittsburghPirates
11,San Diego Padres,,,-1,81 95,,,(1969-present),sanDiegoPadres
12,San Francisco Giants,New York Giants,,2 18 19 30 51 107 109,8 9 10 14 20 21 33 34 48 59 86 99,,(1903-1957),(1958-present),sanFranciscoGiants
13,St. Louis Cardinals,,,23 28 31 39 41 43 61 64 79 103 108,25 27 40 65 82 84 101 110,,,(1903-present),stLouisCardinals
14,Washington Nationals,,,-1,-1,,,(2005-present),washingtonNationals
15,Baltimore Orioles,St. Louis Browns,,63 67 80,41 66 68 76,,(1903-1953),(1954-present),baltimoreOrioles
16,Boston Red Sox,Boston Americans,,0 9 12 13 15 101 104 110,43 64 72 83,,(1903-1907),(1908-present),bostonRedSox
17,Chicago White Sox,,,3 14 102,16 56,,,(1903-present),chicagoWhiteSox
18,Cleveland Indians,,,17 45,51 92 94,,,(1915-present),clevelandIndians
19,Detroit Tigers,,,32 42 65 81,4 5 6 31 37 103 109,,,(1903-present),detroitTigers
20,Houston Astros,,,-1,102,,,(1965-present),houstonAstros
21,Kansas City Royals,,,82,77,,,(1969-present),kansasCityRoyals
22,Los Angeles Angels of Anaheim,Anaheim Angels,,99,-1,,(1997-2004),(2005-present),anaheimAngels
23,Minnesota Twins,Washington Senators,,21 84 88,22 30 62,,(1903-1960),(1961-present),minnesotaTwins
24,New York Yankees,,,20 24 25 29 33 34 35 36 38 40 44 46 47 48 49 50 53 55 58 59 74 75 93 95 96 97 106,18 19 23 39 52 54 57 60 61 73 78 98 100,,,(1913-present),newYorkYankees
25,Oakland Athletics,Philadelphia Athletics,,7 8 10 26 27 69 70 71 86,2 11 28 85 87,,(1903-1954),(1968-present),oaklandAthletics
26,Seattle Mariners,,,-1,-1,,,(1977-present),seattleMariners
27,Tampa Bay Rays,,,-1,105,,,(2008-present),tampaBayRays
28,Texas Rangers,,,-1,"107,108",,,(1972-present),texasRangers
29,Toronto Blue Jays,,,89 90,-1,,,(1977-present),torontoBlueJays
